Relative_Timestamp,UTC_Timestamp,Ticks,Subject_ID,Test_Name,Condition,Wave,Trial,TargetName,Outcome,ReactionTime_ms,RT_s, Gaze_Precision, Locked_On_Target_Status, Gaze_Hit_Location_x, Gaze_Hit_Location_y,Gaze_Hit_Location_z, Reticle_Aim_Direction_x,Reticle_Aim_Direction_y, Reticle_Aim_Direction_z, Target_Distance_From_Camera
861.617,2025-10-08T00:18:46.0746260Z,638954795260746340,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,61,Target_Center,Incorrect,647,0.65,0.729,True,-0.093,2.425,9.500,-0.029,1.502,3.019,9.951
863.015,2025-10-08T00:18:47.4727520Z,638954795274727690,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,62,Target_Up,Hit,875,0.88,0.947,True,0.244,5.063,9.500,0.071,2.206,2.816,10.845
864.291,2025-10-08T00:18:48.7486350Z,638954795287486460,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,63,Target_Up,Hit,758,0.76,0.954,True,0.337,5.242,9.500,0.098,2.253,2.795,10.846
866.142,2025-10-08T00:18:50.5989520Z,638954795305989610,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,63,Target_Center,Incorrect,1332,1.33,0.631,True,-0.076,2.692,9.500,-0.023,1.594,3.003,9.951
868.034,2025-10-08T00:18:52.4911610Z,638954795324911670,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,64,Target_Right,Hit,1371,1.37,0.607,True,4.555,0.081,9.500,1.316,0.762,2.732,10.727
869.337,2025-10-08T00:18:53.7945530Z,638954795337945600,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,64,Target_Center,Incorrect,779,0.78,0.797,True,-0.007,0.488,9.500,-0.002,0.879,3.043,9.957
870.494,2025-10-08T00:18:54.9510970Z,638954795349511040,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,65,Target_Up,Hit,631,0.63,0.672,True,0.332,6.537,9.500,0.091,2.550,2.638,10.848
871.785,2025-10-08T00:18:56.2421920Z,638954795362421980,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,66,Target_Down,Hit,779,0.78,0.802,True,-0.106,-1.785,9.500,-0.033,0.185,2.907,10.627
873.557,2025-10-08T00:18:58.0142700Z,638954795380142770,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,67,Target_Left,Hit,1248,1.25,0.599,True,-5.370,1.726,9.500,-1.497,1.236,2.653,10.724
875.093,2025-10-08T00:18:59.5500760Z,638954795395500820,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,68,Target_Up,Hit,1010,1.01,0.583,True,0.136,3.907,9.500,0.039,1.924,2.922,10.844
876.686,2025-10-08T00:19:01.1438980Z,638954795411439220,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,69,Target_Left,Hit,1069,1.07,0.810,True,-4.160,2.184,9.500,-1.192,1.373,2.791,10.722
878.057,2025-10-08T00:19:02.5142520Z,638954795425142670,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,70,Target_Left,Hit,859,0.86,0.022,True,-4.379,4.239,9.500,-1.251,1.930,2.638,10.719
879.540,2025-10-08T00:19:03.9972620Z,638954795439972720,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,70,Target_Right,Incorrect,956,0.96,0.000,False,4.555,0.081,9.500,0.248,0.873,3.033,10.727
880.622,2025-10-08T00:19:05.0793460Z,638954795450793540,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,70,Target_Center,Incorrect,557,0.56,0.959,True,0.324,1.449,9.500,0.102,1.174,3.047,9.954
882.021,2025-10-08T00:19:06.4780920Z,638954795464781030,STEVEN100725C,Simple Disorientation Tasks,Inversion_Pitch, 4,71,Target_Right,Hit,888,0.89,0.984,True,4.019,1.159,9.500,1.230,1.081,2.791,10.724
